biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,tissue,is_cross_modal,is_cross_study,genotype
6e44a6a8,6,Ribo-seq,1063244,a549,pr8 virus infection,unknown,a549,False,False,a549
09d8b48c,6,Ribo-seq,1063244,a549,mock treatment,unknown,a549,False,False,a549
dcd53ffd,6,Ribo-seq,1040202,iwat preadipocyte,beige adipocyte differentiation induction media,8 days differentiation,iwat preadipocyte,False,False,unknown
91df9437,6,Ribo-seq,1040202,iwat preadipocyte,beige adipocyte differentiation induction media,4 days differentiation,iwat preadipocyte,False,False,unknown
87adc777,6,Ribo-seq,1040202,iwat preadipocyte,none,none,iwat preadipocyte,False,False,unknown
71c49195,6,RNA-seq,1037596,unknown,unknown,unknown,brain organoid,False,False,wt
2025b9b6,6,RNA-seq,1037596,unknown,unknown,d10,neuroepithelium,False,False,airim-v190g
20ea149d,6,RNA-seq,1037596,unknown,unknown,d10,neuroepithelium,False,False,wt
d02366cf,6,"RNA-seq,Ribo-seq",1034671,unknown,unknown,unknown,wt_3,True,False,c57bl/6n
864537a5,6,"RNA-seq,Ribo-seq",1034671,unknown,unknown,unknown,wt_2,True,False,c57bl/6n
3adc2606,6,"RNA-seq,Ribo-seq",1034671,unknown,unknown,unknown,wt_1,True,False,c57bl/6n
c02c1c2f,6,"RNA-seq,Ribo-seq",1034671,unknown,unknown,unknown,ko_3,True,False,c57bl/6n
93580258,6,"RNA-seq,Ribo-seq",1034671,unknown,unknown,unknown,ko_2,True,False,c57bl/6n
1d1aae8c,6,"RNA-seq,Ribo-seq",1034671,unknown,unknown,unknown,ko_1,True,False,c57bl/6n
7b273ee7,6,Ribo-seq,1033864,unknown,unknown,unknown,heart left ventricle,False,False,c57bl/6
eb31deac,6,RNA-seq,"1028978,1028977",hek293t,srα sirna,unknown,hek293t,False,True,hek293t
4c36a2dd,6,RNA-seq,1027912,heads,unknown,unknown,heads,False,False,y874c
db1cd64b,6,RNA-seq,1027912,heads,unknown,unknown,heads,False,False,r873w
77c29785,6,RNA-seq,1027912,heads,unknown,unknown,heads,False,False,l854f
af26d5f4,6,RNA-seq,1027912,heads,unknown,unknown,heads,False,False,jmjc
96130a2f,6,RNA-seq,1027912,heads,unknown,unknown,heads,False,False,d234g
bc556a0a,6,RNA-seq,1027912,heads,unknown,unknown,heads,False,False,a224t
4ac5b0da,6,RNA-seq,978085,hek293t,plus_preq1_plus_pnk,unknown,hek293t,False,False,hek293t
609f24a2,6,RNA-seq,978085,hek293t,minus_preq1_plus_pnk,unknown,hek293t,False,False,hek293t
ee71a4d8,6,RNA-seq,978085,hek293t,plus_preq1_minus_pnk,unknown,hek293t,False,False,hek293t
2b225fe8,6,RNA-seq,978085,bmdc,00nm_preq1_plus_100nm_q,unknown,bmdc,False,False,bmdc
2b85d9c4,6,RNA-seq,978085,bmdc,100nm_preq1,unknown,bmdc,False,False,bmdc
5414e3fd,6,RNA-seq,978085,hek293t,minus_preq1_minus_pnk,unknown,hek293t,False,False,hek293t
ee75b91e,6,RNA-seq,978085,bmdc,no_treatment_control_0q,unknown,bmdc,False,False,bmdc
6f1210c6,6,RNA-seq,978085,bmdc,100nm_q,unknown,bmdc,False,False,bmdc
049c8518,6,RNA-seq,972712,a375,q depleted medium for 24h,unknown,a375,False,False,a375
7e11febd,6,RNA-seq,972712,a375,control medium for 24h,unknown,a375,False,False,a375
683df798,6,RNA-seq,972712,a375,dmso for 24h,unknown,a375,False,False,a375
04335131,6,RNA-seq,972712,a375,mapk inhibitors for 24h,unknown,a375,False,False,a375
c0273edd,6,RNA-seq,957283,bt20 cells,treatment with dox for 12 hours,unknown,bt20 cells,False,False,bt20 cells
5569a1e7,6,RNA-seq,957283,bt20 cells,nontreated,unknown,bt20 cells,False,False,bt20 cells
dedd7c0f,6,RNA-seq,954956,antigen-presenting cells,untreated,unknown,primary culture cell,False,False,primary culture cell
159defaf,6,RNA-seq,954956,antigen-presenting cells,liposome,unknown,primary culture cell,False,False,primary culture cell
c2bb8843,6,RNA-seq,954956,antigen-presenting cells,linearrna,unknown,primary culture cell,False,False,primary culture cell
ec29114e,6,RNA-seq,954956,antigen-presenting cells,circrna,unknown,primary culture cell,False,False,primary culture cell
279cf07c,6,RNA-seq,"947527,947524,947525,947526,947523,948060",unknown,unknown,unknown,sscortex,False,True,unknown
43e567c5,6,RNA-seq,947526,wibj-2 hipsc,wt,unknown,wibj-2 hipsc,False,False,wibj-2 hipsc
f5ecc283,6,RNA-seq,947526,hek293t,wt,unknown,hek293t,False,False,hek293t
1490c54a,6,RNA-seq,944706,unknown,unknown,unknown,mouse brain,False,False,wt +/+
7be360fc,6,RNA-seq,944706,unknown,unknown,unknown,mouse brain,False,False,phe11 -/-
