Run,study_accession
SRR9691795,PRJNA554781
SRR9691796,PRJNA554781
SRR9691797,PRJNA554781
SRR9691798,PRJNA554781
SRR9691799,PRJNA554781
SRR9691800,PRJNA554781
SRR9691801,PRJNA554781
SRR9691802,PRJNA554781
SRR9691803,PRJNA554781
SRR9691804,PRJNA554781
SRR9691805,PRJNA554781
SRR9691806,PRJNA554781
SRR9691807,PRJNA554781
SRR9691808,PRJNA554781
SRR9691809,PRJNA554781
SRR9691810,PRJNA554781
SRR9691811,PRJNA554781
SRR9691812,PRJNA554781
SRR9691813,PRJNA554781
SRR9691814,PRJNA554781
SRR9691815,PRJNA554781
SRR9691816,PRJNA554781
SRR9691817,PRJNA554781
SRR9691818,PRJNA554781
SRR9691819,PRJNA554781
SRR9691820,PRJNA554781
SRR9691821,PRJNA554781
SRR9691822,PRJNA554781
SRR9691823,PRJNA554781
SRR9691824,PRJNA554781
SRR9691825,PRJNA554781
SRR9691826,PRJNA554781
SRR10811655,PRJNA598453
SRR10811656,PRJNA598453
SRR10811657,PRJNA598453
SRR10811658,PRJNA598453
SRR10811659,PRJNA598453
SRR10811660,PRJNA598453
SRR10811661,PRJNA598453
SRR10811662,PRJNA598453
SRR10811663,PRJNA598453
SRR10811664,PRJNA598453
SRR10811665,PRJNA598453
SRR10811666,PRJNA598453
SRR10811667,PRJNA598453
SRR10811668,PRJNA598453
SRR10811669,PRJNA598453
SRR10811670,PRJNA598453
SRR10811671,PRJNA598453
SRR10811672,PRJNA598453
SRR10811673,PRJNA598453
SRR10811674,PRJNA598453
SRR11728138,PRJNA630973
SRR11728139,PRJNA630973
SRR11728140,PRJNA630973
SRR11728141,PRJNA630973
SRR11728142,PRJNA630973
SRR11728143,PRJNA630973
SRR11915743,PRJNA636967
SRR11915744,PRJNA636967
SRR11915745,PRJNA636967
SRR11915746,PRJNA636967
SRR11915747,PRJNA636967
SRR11915748,PRJNA636967
SRR11915749,PRJNA636967
SRR11915750,PRJNA636967
SRR11915751,PRJNA636967
SRR11915752,PRJNA636967
SRR11915753,PRJNA636967
SRR11915754,PRJNA636967
SRR12513919,PRJNA640006
SRR12513920,PRJNA640006
SRR12513921,PRJNA640006
SRR12513922,PRJNA640006
SRR12513923,PRJNA640006
SRR12513924,PRJNA640006
SRR12513925,PRJNA640006
SRR12513926,PRJNA640006
SRR12513927,PRJNA640006
SRR12381711,PRJNA654277
SRR12381709,PRJNA654277
SRR13362462,PRJNA689830
SRR13362463,PRJNA689830
SRR13362466,PRJNA689830
SRR13362467,PRJNA689830
SRR13554798,PRJNA695008
SRR13554799,PRJNA695008
SRR13554802,PRJNA695008
SRR13554803,PRJNA695008
SRR13554806,PRJNA695008
SRR13554807,PRJNA695008
SRR15446776,PRJNA754447
SRR15446777,PRJNA754447
SRR15446778,PRJNA754447
SRR15446779,PRJNA754447
SRR15446780,PRJNA754447
SRR15446781,PRJNA754447
SRR15446782,PRJNA754447
SRR15446783,PRJNA754447
SRR15446784,PRJNA754447
SRR15446785,PRJNA754447
SRR15446786,PRJNA754447
SRR15446787,PRJNA754447
SRR15446788,PRJNA754447
SRR15446789,PRJNA754447
SRR15446790,PRJNA754447
SRR15446791,PRJNA754447
SRR15446792,PRJNA754447
SRR15446793,PRJNA754447
SRR15446794,PRJNA754447
SRR15446795,PRJNA754447
SRR15446796,PRJNA754447
SRR15446797,PRJNA754447
SRR15446798,PRJNA754447
SRR15446799,PRJNA754447
SRR15446800,PRJNA754447
SRR15446801,PRJNA754447
SRR15446802,PRJNA754447
SRR15446803,PRJNA754447
SRR15446804,PRJNA754447
SRR15446805,PRJNA754447
SRR15446806,PRJNA754447
SRR15446807,PRJNA754447
SRR15446808,PRJNA754447
SRR15446809,PRJNA754447
SRR15446810,PRJNA754447
SRR15446811,PRJNA754447
SRR15929424,PRJNA764085
SRR15929425,PRJNA764085
SRR15929426,PRJNA764085
SRR15929427,PRJNA764085
SRR16301571,PRJNA770675
SRR16301572,PRJNA770675
SRR16301570,PRJNA770675
SRR364363,PRJNA148631
SRR364364,PRJNA148631
SRR364365,PRJNA148631
SRR364366,PRJNA148631
SRR364367,PRJNA148631
SRR364368,PRJNA148631
SRR364369,PRJNA148631
SRR364370,PRJNA148631
SRR1200750,PRJNA241328
SRR1200751,PRJNA241328
SRR1200738,PRJNA241328
SRR1200739,PRJNA241328
SRR1200730,PRJNA241328
SRR1200731,PRJNA241328
SRR5742252,PRJNA391480
SRR5742254,PRJNA391480
SRR11114802,PRJNA607566
SRR11114803,PRJNA607566
SRR11114804,PRJNA607566
SRR11215525,PRJNA609751
SRR11215528,PRJNA609751
SRR22447291,PRJNA906596
SRR22447288,PRJNA906596
SRR22447286,PRJNA906596
SRR22447285,PRJNA906596
SRR22447284,PRJNA906596
SRR22447283,PRJNA906596
SRR22447282,PRJNA906596
SRR22447281,PRJNA906596
SRR22447280,PRJNA906596
DRR021383,PRJDB2960
DRR021384,PRJDB2960
DRR021385,PRJDB2960
DRR021386,PRJDB2960
DRR021387,PRJDB2960
DRR021388,PRJDB2960
DRR021389,PRJDB2960
SRR16249166,PRJNA769692
SRR16249167,PRJNA769692
SRR16249168,PRJNA769692
SRR16249169,PRJNA769692
SRR16249170,PRJNA769692
SRR16249171,PRJNA769692
SRR16249172,PRJNA769692
SRR16249173,PRJNA769692
SRR16249174,PRJNA769692
SRR16249175,PRJNA769692
SRR16249176,PRJNA769692
SRR16249177,PRJNA769692
SRR16249178,PRJNA769692
SRR16249179,PRJNA769692
SRR16249180,PRJNA769692
SRR16249181,PRJNA769692
SRR16249182,PRJNA769692
SRR16249183,PRJNA769692
SRR16249184,PRJNA769692
SRR16249185,PRJNA769692
SRR16249186,PRJNA769692
SRR16249187,PRJNA769692
SRR16249188,PRJNA769692
SRR16249189,PRJNA769692
SRR16249190,PRJNA769692
SRR16249191,PRJNA769692
SRR16249192,PRJNA769692
SRR16249193,PRJNA769692
SRR16249194,PRJNA769692
SRR16249195,PRJNA769692
SRR16249196,PRJNA769692
SRR16249197,PRJNA769692
SRR869824,PRJNA205933
SRR869816,PRJNA205933
SRR869817,PRJNA205933
SRR869818,PRJNA205933
SRR869819,PRJNA205933
SRR869820,PRJNA205933
SRR869821,PRJNA205933
SRR869822,PRJNA205933
SRR869823,PRJNA205933
SRR869825,PRJNA205933
SRR869826,PRJNA205933
SRR869827,PRJNA205933
SRR869828,PRJNA205933
SRR869829,PRJNA205933
SRR869830,PRJNA205933
SRR869831,PRJNA205933
SRR869832,PRJNA205933
SRR869833,PRJNA205933
SRR869834,PRJNA205933
SRR869835,PRJNA205933
SRR1613263,PRJNA263742
SRR1613265,PRJNA263742
SRR1613266,PRJNA263742
SRR1613268,PRJNA263742
SRR1613269,PRJNA263742
SRR1613270,PRJNA263742
SRR1613287,PRJNA263742
SRR1613272,PRJNA263742
SRR1613277,PRJNA263742
SRR1613278,PRJNA263742
SRR1613280,PRJNA263742
SRR1613281,PRJNA263742
SRR1613283,PRJNA263742
SRR1613285,PRJNA263742
SRR1693437,PRJNA269272
SRR1693438,PRJNA269272
SRR30561646,PRJNA1156803
SRR30561645,PRJNA1156803
SRR26984503,PRJNA976655
SRR26984502,PRJNA976655
SRR26984501,PRJNA976655
SRR26984495,PRJNA976655
SRR26984494,PRJNA976655
SRR26984493,PRJNA976655
SRR26984492,PRJNA976655
SRR26984491,PRJNA976655
SRR33079333,PRJNA1249502
SRR33079332,PRJNA1249502
SRR33079329,PRJNA1249502
SRR33079328,PRJNA1249502
SRR33079327,PRJNA1249502
SRR33079326,PRJNA1249502
SRR33079325,PRJNA1249502
SRR33079324,PRJNA1249502
