Scientific_name	Accession
Mythimna_pallens	GCA_961205895.1
Mythimna_separata	GCA_020882275.1
Mythimna_vitellina	GCA_949316375.1
Nematopogon_swammerdamellus	GCA_946902875.1
Noctua_comes	GCA_963082995.1
Noctua_fimbriata	GCA_905163415.1
Noctua_janthe	GCA_910589295.1
Noctua_pronuba	GCA_905220335.1
Notocelia_uddmanniana	GCA_905163555.1
Notodonta_dromedarius	GCA_905147325.1
Notodonta_ziczac	GCA_918843915.1
Nycteola_revayana	GCA_947037095.1
Nymphalis_polychloros	GCA_905220585.2
Nymphalis_urticae	GCA_905147055.1
Nymphula_nitidulata	GCA_947347705.1
Ochlodes_sylvanus	GCA_905404295.1
Ochropacha_duplaris	GCA_951361185.1
Ochropleura_leucogaster	GCA_958449745.1
Ochropleura_plecta	GCA_905475445.1
Oegoconia_quadripuncta	GCA_949316235.1
Oligia_fasciuncula	GCA_963082905.1
Oligia_latruncula	GCA_948474745.1
Oligia_strigilis	GCA_951800025.1
Omphaloscelis_lunosa	GCA_916610215.1
Operophtera_brumata	GCA_932527175.1
Opisthograptis_luteolata	GCA_931315375.1
Orgyia_antiqua	GCA_916999025.1
Orthosia_gothica	GCA_949775005.1
Orthosia_gracilis	GCA_947562075.1
Orthosia_incerta	GCA_948252205.1
Ostrinia_nubilalis	GCA_963855985.1
Pammene_aurita	GCA_947086415.1
Pammene_fasciana	GCA_911728535.1
Pandemis_cinnamomeana	GCA_932294345.1
Pandemis_corylana	GCA_949127965.1
Pandemis_heparana	GCA_963854515.1
Papilio_machaon	GCA_912999765.1
Parapoynx_stratiotata	GCA_910589355.1
Pararge_aegeria	GCA_905163445.1
Parascotia_fuliginaria	GCA_963082885.1
Pasiphila_rectangulata	GCA_963082625.1
Pectinophora_gossypiella	GCA_024362825.1
Peribatodes_rhomboidaria	GCA_911728515.1
Perizoma_affinitatum	GCA_961405105.1
Perizoma_blandiatum	GCA_964188255.1
Perizoma_flavofasciatum	GCA_958496245.1
Petrophora_chlorosata	GCA_951640565.1
Phalera_bucephala	GCA_905147815.2
Pheosia_gnoma	GCA_905404115.1
Pheosia_tremula	GCA_905333125.1
Philereme_transversata	GCA_963924445.1
Philereme_vetulata	GCA_918857605.2
Phlogophora_meticulosa	GCA_905147745.2
Phragmatobia_fuliginosa	GCA_932526445.1
Pieris_brassicae	GCA_905147105.1
Pieris_napi	GCA_905475415.1
Pieris_rapae	GCA_905147795.1
Plebejus_argus	GCA_905404155.1
Plusia_festucae	GCA_950381575.1
Plutella_xylostella	GCA_932276165.1
Polymixis_flavicincta	GCA_949987655.1
Polymixis_lichenea	GCA_949091785.1
Polyommatus_icarus	GCA_937595015.1
Polyommatus_iphigenia	GCA_963422495.1
Polyploca_ridens	GCA_951394255.1
Protodeltote_pygarga	GCA_936450705.2
Pseudoips_prasinana	GCA_951640165.1
Ptilodon_capucinus	GCA_914767695.1
Pyrausta_nigrata	GCA_949316185.1
Pyrgus_malvae	GCA_911387725.1
Rhodophaea_formosa	GCA_963082605.1
Saturnia_pavonia	GCA_947532125.1
Schrankia_costaestrigalis	GCA_905475405.1
Scotopteryx_bipunctaria	GCA_949320045.1
Scrobipalpa_costella	GCA_949820665.1
Selenia_dentaria	GCA_917880725.1
Sesia_apiformis	GCA_914767545.1
Sesia_bembeciformis	GCA_943735995.1
Shargacucullia_verbasci	GCA_947562105.1
Sphinx_pinastri	GCA_947568825.1
Spilarctia_lutea	GCA_916048165.1
Spilosoma_lubricipeda	GCA_905220595.1
Spilosoma_urticae	GCA_964188045.1
Spodoptera_exigua	GCA_902829305.1
Spodoptera_littoralis	GCA_902850265.1
Spodoptera_litura	GCA_002706865.3
Stenoptilia_bipunctidactyla	GCA_944452665.1
Subacronicta_megacephala	GCA_958496365.1
Synanthedon_andrenaeformis	GCA_936446665.1
Synanthedon_formicaeformis	GCA_945859745.1
Synanthedon_myopaeformis	GCA_944738685.1
Synanthedon_tipuliformis	GCA_947623395.1
Synanthedon_vespiformis	GCA_918317495.1
Tachystola_acroxantha	GCA_963506565.1
Teleiodes_luculella	GCA_948473455.1
Tetheella_fluctuosa	GCA_951216915.1
Thalpophila_matura	GCA_948465475.1
Thera_britannica	GCA_939531255.2
Thera_firmata	GCA_964188155.1
Thera_obeliscata	GCA_947578465.1
Tholera_decimalis	GCA_943138885.2
Thumatha_senex	GCA_948477245.1
Thyatira_batis	GCA_905147785.1
Thymelicus_acteon	GCA_951805285.1
Thymelicus_lineola	GCA_963932265.1
Thymelicus_sylvestris	GCA_911387775.1
Tiliacea_aurago	GCA_948098905.1
Tiliacea_citrago	GCA_963921375.1
Timandra_comae	GCA_958496195.1
Tinea_pellionella	GCA_948150575.1
Tinea_semifulvella	GCA_910589645.1
Tinea_trinotella	GCA_905220615.1
Tortricodes_alternella	GCA_947859335.1
Trichoplusia_ni	GCA_003590095.1
Trisateles_emortualis	GCA_947095525.1
Tyria_jacobaeae	GCA_947561695.1
Udea_ferrugalis	GCA_950022985.1
Vanessa_atalanta	GCA_905147765.2
Vanessa_cardui	GCA_905220365.2
Vanessa_tameamea	GCA_002938995.1
Venusia_cambrica	GCA_951394065.1
Watsonalla_binaria	GCA_929442735.1
Watsonalla_cultraria	GCA_964035505.1
Xanthia_icteritia	GCA_949128155.2
Xanthia_togata	GCA_963853775.1
Xanthorhoe_montanata	GCA_964187945.1
Xanthorhoe_spadicearia	GCA_947086425.1
Xestia_ashworthii	GCA_950022955.1
Xestia_rhomboidea	GCA_963853795.1
Xestia_sexstrigata	GCA_941918905.2
Xestia_xanthographa	GCA_913789945.1
Xylocampa_areola	GCA_935421205.1
Yponomeuta_cagnagella	GCA_947310995.1
Yponomeuta_evonymella	GCA_963969515.1
Yponomeuta_padella	GCA_947311065.1
Yponomeuta_plumbellus	GCA_947310845.1
Yponomeuta_sedellus	GCA_934045075.1
Ypsolopha_scabrella	GCA_910592155.1
Ypsolopha_sequella	GCA_934047225.1
Zelleria_hepariella	GCA_949319315.1
Zerene_cesonia	GCA_012273895.2
Zeuzera_pyrina	GCA_907165235.1
Zygaena_filipendulae	GCA_907165275.1
