biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,is_cross_modal,is_cross_study,cap_selection_method,fractionation_method,replicate,translation_inhibitor
2ed186a5,20,RNA-seq,760480,pHERD20T:pleD*,unknown,unknown,False,False,,,unknown,
7b6d261c,20,RNA-seq,760480,pHERD20T,unknown,unknown,False,False,,,unknown,
784acad0,20,RNA-seq,756018,Fibroblast,IL11 stimulated,unknown,False,False,,,unknown,
73aa09b7,20,RNA-seq,716630,unknown,RNAse-T1 & RNAse-A digestion,unknown,False,False,,,unknown,
0a5fc036,20,"Ribo-seq,RNA-seq","396456,701894,701895",,,unknown,True,True,,,unknown,
05672710,20,"Ribo-seq,RNA-seq",667051,epithelial cells,Cycloheximide,6hpi,True,False,,,,
9ca9417a,20,RNA-seq,"647327,649426",unknown,15 minutes control,unknown,False,True,,,,
086ed4de,20,RNA-seq,"647327,649426",unknown,4 hours control,unknown,False,True,,,,
ab17d2f0,20,RNA-seq,"647327,649426",unknown,30 minutes control,unknown,False,True,,,,
a3998e3c,20,RNA-seq,"647327,649426",unknown,24 hours control,24 h,False,True,,,,
d94f1600,20,RNA-seq,602676,EL4,unknown,unknown,False,False,,,unknown,
ed475a5d,20,RNA-seq,510796,Leaf tissue,AvrRpt2 inoculation,unknown,False,False,,,,
d6c728f2,20,RNA-seq,510796,Leaf tissue,Mock,unknown,False,False,,,,
5cfdadee,20,RNA-seq,488955,Primary basophilic erythroblasts,iron sufficiency,unknown,False,False,,,unknown,
24070806,20,Ribo-seq,471667,fibroblast of dermis,unknown,unknown,False,False,,unknown,unknown,unknown
aff5cfd6,20,Ribo-seq,395570,DBTRG,unknown,unknown,False,False,,unknown,unknown,unknown
73c6a160,20,Ribo-seq,395570,A-172,unknown,unknown,False,False,,unknown,unknown,unknown
08db0139,20,"Ribo-seq,RNA-seq",295955,S2,transfected with 100nM tsRNA-Asp29,unknown,True,False,,unknown,unknown,unknown
060191fd,20,"Ribo-seq,RNA-seq",295955,S2,transfected with 100nM tsRNA-Asp20,unknown,True,False,,unknown,unknown,unknown
ada8876f,20,Ribo-seq,263261,B cell,LPS (48 hours),unknown,False,False,,unknown,unknown,unknown
307b933f,19,RNA-seq,1219079,the small open reading frames (sORFs) of ovarian tissue,unknown,unknown,False,False,,,unknown,
8842a8fb,18,RNA-seq,"1263618,1263619",Fibroblast,Adipogenic Differentiation,Day 0,False,True,,,,
315b5709,18,RNA-seq,"1228532,779948,1007580,956925,509424,957283,795419",,unknown,unknown,False,True,,,,
9c6d1fe7,18,"Ribo-seq,RNA-seq","430558,946781",,unknown,unknown,True,True,,unknown,unknown,unknown
fc9f8d35,18,RNA-seq,858047,Human leukemia monocytic cell line,Vehicle,3h,False,False,,,,
b8304257,18,RNA-seq,858047,Human leukemia monocytic cell line,LPS,3h,False,False,,,,
16d9dda0,18,RNA-seq,858047,Human leukemia monocytic cell line,LPS+Dex,3h,False,False,,,,
5ddc5fd5,18,RNA-seq,794846,hESC H9 (Wa-09),UV crosslinking,unknown,False,False,,,unknown,
88c6ed32,18,RNA-seq,748710,cord blood CD34+ derived erythroid cells,none,unknown,False,False,,,unknown,
f1b8b2c4,18,"Ribo-seq,RNA-seq",725264,breast cancer cells,transfected with 5-Cys-LNA1,unknown,True,False,,,unknown,
6ede85c2,18,"Ribo-seq,RNA-seq",725264,breast cancer cells,transfected with Scr-LNA,unknown,True,False,,,unknown,
bc2079de,18,RNA-seq,717063,esophageal epithelial,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,unknown,False,False,,,unknown,
8f394816,18,RNA-seq,717063,esophageal epithelial,unknown,unknown,False,False,,,unknown,
e0c20d52,18,RNA-seq,699598,SH-SY5Y,Retinoic acid (final conc. 30μM),unknown,False,False,,,unknown,
a3380e59,18,RNA-seq,699598,SH-SY5Y,Control (DMSO),unknown,False,False,,,unknown,
a1d7cc06,18,RNA-seq,649449,unknown,NA,unknown,False,False,,,,
371b93ae,18,RNA-seq,"647327,649426",unknown,12 hours control,12 h,False,True,,,,
401da8ec,18,RNA-seq,"647327,649426",unknown,1 hour control,1 h,False,True,,,,
2d59ba82,18,RNA-seq,"649002,648998",RAW264.7,"4sU, 30 min",unknown,False,True,,,unknown,
d705344c,18,"Ribo-seq,RNA-seq",477865,unknown,RNAi against unc-54 (BJA153),unknown,True,False,,unknown,unknown,unknown
644d59f6,18,"Ribo-seq,RNA-seq",477865,unknown,RNAi against unc-54 (BJA151),unknown,True,False,,unknown,unknown,unknown
a8b7a2b7,18,RNA-seq,321057,immortalized primary cells,unknown,unknown,False,False,,,,
0a9931c4,17,"Ribo-seq,RNA-seq",873584,We then performed gene expression profiling analysis using data obtained from Ribo-seq of 4 different pairs of Papillary Thyroid Carcinoma tissue sample and adjacent normal tissue,unknown,unknown,True,False,,,unknown,
a9b761f5,17,"Ribo-seq,RNA-seq",689830,coli cell,unknown,unknown,True,False,,,,
ab1ba48f,17,RNA-seq,"278390,497255",U2OS cells,unknown,unknown,False,True,,,,
dd30ee9b,17,RNA-seq,347980,14028s cells,unknown,unknown,False,False,,,unknown,
45d34d94,17,RNA-seq,258156,S2 cell,unknown,unknown,False,False,,,unknown,
446e495c,16,RNA-seq,"1287737,396456",human embryonic kidney cells,unknown,unknown,False,True,,,unknown,
c94e2a6f,16,RNA-seq,1273852,haploid,unknown,unknown,False,False,,,unknown,
cc1c355d,16,RNA-seq,1207466,guard cell,flg22,unknown,False,False,,,,
da160e26,16,RNA-seq,1202056,SH-SY5Y,unknown,unknown,False,False,,,,
da7cd97e,16,RNA-seq,1151690,The triple-negative breast cancer cell line,unknown,unknown,False,False,,,,
0c8df40d,16,RNA-seq,1140141,Acute myeloid leukemia,AA 5+3,unknown,False,False,,,,
3d7c627b,16,RNA-seq,1116206,G401,unknown,unknown,False,False,,,unknown,
684f3f81,16,RNA-seq,"529885,1109711",K562,unknown,unknown,False,True,,,unknown,
1ba78ecd,16,RNA-seq,"1104551,1104552",unknown,unknown,6 d,False,True,,,unknown,
d654ff81,16,"Ribo-seq,RNA-seq","1083195,1083196",Saccharomyces cerevisiae,Tunicamycin,4 hr,True,True,,,,
4d6a52ae,16,"Ribo-seq,RNA-seq","1083195,1083196",Saccharomyces cerevisiae,Tunicamycin,0 hr,True,True,,,,
c2a2d1ae,16,RNA-seq,1046463,Peripheral Blood Monocyte,MCSF (100ng/mL),24 h,False,False,,,unknown,
0202b9d6,16,RNA-seq,1046463,Peripheral Blood Monocyte,GMCSF (100ng/mL),24 h,False,False,,,unknown,
b4841f94,16,RNA-seq,1046463,Peripheral Blood Monocyte,HCMV (TB40E),24 h,False,False,,,unknown,
24b50bc1,16,RNA-seq,1046463,Peripheral Blood Monocyte,Mock,24 h,False,False,,,unknown,
0388b1c5,16,Ribo-seq,1032588,unknown,R42L,unknown,False,False,,unknown,,unknown
ab889ecb,16,Ribo-seq,1032588,unknown,EcFMT,unknown,False,False,,unknown,,unknown
3b48d901,16,"Ribo-seq,RNA-seq",1024513,to cell,37 C,unknown,True,False,,unknown,unknown,unknown
f14388ec,16,"Ribo-seq,RNA-seq",1024513,to cell,22 C,unknown,True,False,,unknown,unknown,unknown
d033f2ad,16,"Ribo-seq,RNA-seq",1004312,archaeal cell,unknown,unknown,True,False,,,,
330839d8,16,RNA-seq,982760,human embryonic kidney cells,Flash freezin in liquid nitrogen,unknown,False,False,,,,
5ddb36eb,16,RNA-seq,982760,human embryonic kidney cells,no,unknown,False,False,,,,
